,Date,Open*,High,Low,Close**,Volume,Market Cap,price
1476,2017-05-13,1723.12,1812.99,1651.08,1804.91,579635008.0,28132300800,1723.12
1477,2017-05-14,1800.86,1831.42,1776.62,1808.91,437196000.0,29405100032,1800.86
1478,2017-05-15,1808.44,1812.8,1708.54,1738.43,731529024.0,29532600320,1808.44
1479,2017-05-16,1741.7,1785.94,1686.54,1734.45,959044992.0,28446300160,1741.7
1480,2017-05-17,1726.73,1864.05,1661.91,1839.09,1064729984.0,28204800000,1726.73
1481,2017-05-18,1818.7,1904.48,1807.12,1888.65,894321024.0,29710499840,1818.7
1482,2017-05-19,1897.37,2004.52,1890.25,1987.71,1157289984.0,30998999040,1897.37
1483,2017-05-20,1984.24,2084.73,1974.92,2084.73,961336000.0,32422400000,1984.24
1484,2017-05-21,2067.03,2119.08,2037.5,2041.2,1147859968.0,33779400704,2067.03
1485,2017-05-22,2043.19,2303.9,2017.87,2173.4,1942220032.0,33393600512,2043.19
1486,2017-05-23,2191.56,2320.82,2178.5,2320.42,1378749952.0,35822600192,2191.56
1487,2017-05-24,2321.37,2523.72,2321.37,2443.64,1725379968.0,37949198336,2321.37
1488,2017-05-25,2446.24,2763.71,2285.3,2304.98,2406700032.0,39995400192,2446.24
1489,2017-05-26,2320.89,2573.79,2071.99,2202.42,1763480064.0,37950599168,2320.89
1490,2017-05-27,2196.27,2260.2,1855.83,2038.87,1700480000.0,35917099008,2196.27
1491,2017-05-28,2054.08,2267.34,2054.08,2155.8,1147139968.0,33595899904,2054.08
1492,2017-05-29,2159.43,2307.05,2107.17,2255.61,994625024.0,35323498496,2159.43
1493,2017-05-30,2255.36,2301.96,2124.57,2175.47,1443970048.0,36897001472,2255.36
1494,2017-05-31,2187.19,2311.08,2145.57,2286.41,1544829952.0,35786698752,2187.19
1495,2017-06-01,2288.33,2448.39,2288.33,2407.88,1653180032.0,37446201344,2288.33
1496,2017-06-02,2404.03,2488.55,2373.32,2488.55,1317030016.0,39344599040,2404.03
1497,2017-06-03,2493.72,2581.91,2423.57,2515.35,1514950016.0,40817098752,2493.72
1498,2017-06-04,2547.79,2585.89,2452.54,2511.81,1355120000.0,41708199936,2547.79
1499,2017-06-05,2512.4,2686.81,2510.22,2686.81,1369309952.0,41133899776,2512.4
1500,2017-06-06,2690.84,2999.91,2690.84,2863.2,2089609984.0,44060999680,2690.84
1501,2017-06-07,2869.38,2869.38,2700.56,2732.16,1517709952.0,46989799424,2869.38
1502,2017-06-08,2720.49,2815.3,2670.95,2805.62,1281170048.0,44557099008,2720.49
1503,2017-06-09,2807.44,2901.71,2795.62,2823.81,1348950016.0,45987098624,2807.44
1504,2017-06-10,2828.14,2950.99,2746.55,2947.71,2018889984.0,46331400192,2828.14
1505,2017-06-11,2942.41,2996.6,2840.53,2958.11,1752400000.0,48208699392,2942.41
1506,2017-06-12,2953.22,2997.26,2518.56,2659.63,2569530112.0,48391200768,2953.22
1507,2017-06-13,2680.91,2789.04,2650.38,2717.02,1781200000.0,43934101504,2680.91
1508,2017-06-14,2716.88,2786.83,2412.94,2506.37,1696560000.0,44528300032,2716.88
1509,2017-06-15,2499.58,2534.71,2212.96,2464.58,2026259968.0,40971300864,2499.58
1510,2017-06-16,2469.57,2539.92,2385.15,2518.56,1195190016.0,40484098048,2469.57
1511,2017-06-17,2514.01,2685.19,2484.96,2655.88,1534509952.0,41217200128,2514.01
1512,2017-06-18,2655.35,2662.1,2516.33,2548.29,1178659968.0,43539300352,2655.35
1513,2017-06-19,2549.03,2662.85,2549.03,2589.6,1446840064.0,41800601600,2549.03
1514,2017-06-20,2591.26,2763.45,2589.82,2721.79,1854189952.0,42497998848,2591.26
1515,2017-06-21,2709.43,2772.01,2660.4,2689.1,1626579968.0,44440801280,2709.43
1516,2017-06-22,2691.03,2723.74,2642.36,2705.41,1097939968.0,44143661056,2691.03
1517,2017-06-23,2707.34,2765.17,2706.37,2744.91,961318976.0,44415922176,2707.34
1518,2017-06-24,2738.52,2757.94,2583.19,2608.72,982750016.0,44932898816,2738.52
1519,2017-06-25,2607.25,2682.26,2552.12,2589.41,1161100032.0,42783760384,2607.25
1520,2017-06-26,2590.57,2615.25,2376.29,2478.45,1663280000.0,42513989632,2590.57
1521,2017-06-27,2478.45,2552.45,2332.99,2552.45,1489789952.0,40677937152,2478.45
1522,2017-06-28,2553.03,2603.98,2484.42,2574.79,1183869952.0,41906651136,2553.03
1523,2017-06-29,2567.56,2588.83,2510.48,2539.32,949979008.0,42150330368,2567.56
1524,2017-06-30,2539.24,2559.25,2478.43,2480.84,860273024.0,41689124864,2539.24
1525,2017-07-01,2492.6,2515.27,2419.23,2434.55,779913984.0,40928153600,2492.6
1526,2017-07-02,2436.4,2514.28,2394.84,2506.47,803747008.0,40010469376,2436.4
1527,2017-07-03,2498.56,2595.0,2480.47,2564.06,964112000.0,41037160448,2498.56
1528,2017-07-04,2561.0,2631.59,2559.35,2601.64,985516032.0,42067939328,2561.0
1529,2017-07-05,2602.87,2622.65,2538.55,2601.99,941566016.0,42760830976,2602.87
1530,2017-07-06,2608.1,2616.72,2581.69,2608.56,761956992.0,42851422208,2608.1
1531,2017-07-07,2608.59,2916.14,2498.87,2518.66,917411968.0,42864218112,2608.59
1532,2017-07-08,2520.27,2571.34,2492.31,2571.34,733329984.0,41417732096,2520.27
1533,2017-07-09,2572.61,2635.49,2517.59,2518.44,527856000.0,42283167744,2572.61
1534,2017-07-10,2525.25,2537.16,2321.13,2372.56,1111200000.0,41509044224,2525.25
1535,2017-07-11,2385.89,2413.47,2296.81,2337.79,1329760000.0,39224180736,2385.89
1536,2017-07-12,2332.77,2423.71,2275.14,2398.84,1117410048.0,38355918848,2332.77
1537,2017-07-13,2402.7,2425.22,2340.83,2357.9,835769984.0,39511040000,2402.7
1538,2017-07-14,2360.59,2363.25,2183.22,2233.34,882502976.0,38823104512,2360.59
1539,2017-07-15,2230.12,2231.14,1990.41,1998.86,993608000.0,36681289728,2230.12
1540,2017-07-16,1991.98,2058.77,1843.03,1929.82,1182870016.0,32767571968,1991.98
1541,2017-07-17,1932.62,2230.49,1932.62,2228.41,1201760000.0,31795019776,1932.62
1542,2017-07-18,2233.52,2387.61,2164.77,2318.88,1512450048.0,36749443072,2233.52
1543,2017-07-19,2323.08,2397.17,2260.23,2273.43,1245100032.0,38227845120,2323.08
1544,2017-07-20,2269.89,2900.7,2269.89,2817.6,2249260032.0,37356806144,2269.89
1545,2017-07-21,2838.41,2838.41,2621.85,2667.76,1489449984.0,46718996480,2838.41
1546,2017-07-22,2668.63,2862.42,2657.71,2810.12,1177129984.0,43929632768,2668.63
1547,2017-07-23,2808.1,2832.18,2653.94,2730.4,1072840000.0,46231142400,2808.1
1548,2017-07-24,2732.7,2777.26,2699.19,2754.86,866473984.0,44995604480,2732.7
1549,2017-07-25,2757.5,2768.08,2480.96,2576.48,1460089984.0,45410078720,2757.5
1550,2017-07-26,2577.77,2610.76,2450.8,2529.45,937404032.0,42455015424,2577.77
1551,2017-07-27,2538.71,2693.32,2529.34,2671.78,789104000.0,41816489984,2538.71
1552,2017-07-28,2679.73,2897.45,2679.73,2809.01,1380099968.0,44144447488,2679.73
1553,2017-07-29,2807.02,2808.76,2692.8,2726.45,803745984.0,46246670336,2807.02
1554,2017-07-30,2724.39,2758.53,2644.85,2757.18,705942976.0,44890664960,2724.39
1555,2017-07-31,2763.24,2889.62,2720.61,2875.34,860574976.0,45535846400,2763.24
1556,2017-08-01,2871.3,2921.35,2685.61,2718.26,1324669952.0,47321755648,2871.3
1557,2017-08-02,2727.13,2762.53,2668.59,2710.67,1094950016.0,44950835200,2727.13
1558,2017-08-03,2709.56,2813.31,2685.14,2804.73,804796992.0,44666400768,2709.56
1559,2017-08-04,2806.93,2899.33,2743.72,2895.89,1002120000.0,46276210688,2806.93
1560,2017-08-05,2897.63,3290.01,2874.83,3252.91,1945699968.0,47778197504,2897.63
1561,2017-08-06,3257.61,3293.29,3155.6,3213.94,1105030016.0,53720891392,3257.61
1562,2017-08-07,3212.78,3397.68,3180.89,3378.94,1482279936.0,52987310080,3212.78
1563,2017-08-08,3370.22,3484.85,3345.83,3419.94,1752760064.0,55590281216,3370.22
1564,2017-08-09,3420.4,3422.76,3247.67,3342.47,1468960000.0,56424906752,3420.4
1565,2017-08-10,3341.84,3453.45,3319.47,3381.28,1515110016.0,55134724096,3341.84
1566,2017-08-11,3373.82,3679.72,3372.12,3650.62,2021190016.0,55667986432,3373.82
1567,2017-08-12,3650.63,3949.92,3613.7,3884.71,2219589888.0,60242059264,3650.63
1568,2017-08-13,3880.04,4208.39,3857.8,4073.26,3159089920.0,64034107392,3880.04
1569,2017-08-14,4066.1,4325.13,3989.16,4325.13,2463089920.0,67112329216,4066.1
1570,2017-08-15,4326.99,4455.97,3906.18,4181.93,3258050048.0,71425482752,4326.99
1571,2017-08-16,4200.34,4381.23,3994.42,4376.63,2272039936.0,69342707712,4200.34
1572,2017-08-17,4384.44,4484.7,4243.71,4331.69,2553359872.0,72389124096,4384.44
1573,2017-08-18,4324.34,4370.13,4015.4,4160.62,2941710080.0,71406542848,4324.34
1574,2017-08-19,4137.75,4243.26,3970.55,4193.7,2975820032.0,68333101056,4137.75
1575,2017-08-20,4189.31,4196.29,4069.88,4087.66,2109769984.0,69192663040,4189.31
1576,2017-08-21,4090.48,4109.14,3988.6,4001.74,2800890112.0,67567071232,4090.48
1577,2017-08-22,3998.35,4128.76,3674.58,4100.52,3764239872.0,66051018752,3998.35
1578,2017-08-23,4089.01,4255.78,4078.41,4151.52,2369819904.0,67553030144,4089.01
1579,2017-08-24,4137.6,4376.39,4130.26,4334.68,2037750016.0,68363894784,4137.6
1580,2017-08-25,4332.82,4455.7,4307.35,4371.6,1727970048.0,71595073536,4332.82
1581,2017-08-26,4372.06,4379.28,4269.52,4352.4,1511609984.0,72249057280,4372.06
1582,2017-08-27,4345.1,4416.59,4317.29,4382.88,1537459968.0,71809245184,4345.1
1583,2017-08-28,4384.45,4403.93,4224.64,4382.66,1959330048.0,72467865600,4384.45
1584,2017-08-29,4389.21,4625.68,4352.13,4579.02,2486080000.0,72553783296,4389.21
1585,2017-08-30,4570.36,4626.52,4471.41,4565.3,1937849984.0,75556601856,4570.36
1586,2017-08-31,4555.59,4736.05,4549.4,4703.39,1944930048.0,75322261504,4555.59
